"省份","城市","消费金额","消费金额占比"
"广东","广州","110618.37","0.06884191658495847179"
"湖南","长沙","65051.22","0.04048378818988005554"
"广东","深圳","46180.44","0.02873980152063965152"
"四川","成都","39800.82","0.02476952725350180845"
"上海","上海","39703.30","0.02470883693863489123"
"北京","北京","36703.97","0.02284224257758289333"
"湖北","武汉","34128.76","0.02123959383118795995"
"重庆","重庆","31379.10","0.01952837837613291881"
"浙江","杭州","29839.95","0.01857050821485917348"
"广东","汕头","25429.60","0.01582578374630597028"
"广东","佛山","21526.34","0.01339664020234121104"
"福建","福州","20691.34","0.01287698871634986689"
"广东","东莞","20121.75","0.01252251172245069358"
"浙江","金华","20108.69","0.01251438399980752358"
"天津","天津","19849.47","0.01235306177441988737"
"浙江","宁波","19828.44","0.01233997402501821316"
"河南","郑州","19680.94","0.01224817930144489189"
"江苏","苏州","19618.97","0.01220961307080191752"
"河北","石家庄","18228.98","0.01134457071270238644"
"湖南","怀化","16533.89","0.01028965330265559895"
"湖南","株洲","15496.65","0.00964414035974582433"
"福建","泉州","15293.47","0.00951769390594496049"
"山东","威海","14740.70","0.00917368462221869067"
"江苏","无锡","14475.56","0.00900867816114594218"
"浙江","台州","14215.16","0.00884662157796971940"
"贵州","贵阳","14016.57","0.00872303165149903553"
"江西","南昌","13853.55","0.00862157825599447395"
"江苏","南京","13815.59","0.00859795433933790937"
"浙江","嘉兴","13416.45","0.00834955470566295715"
"陕西","西安","13008.81","0.00809586520656174573"
"江苏","徐州","12823.06","0.00798026608857025810"
"山东","临沂","12408.23","0.00772210198565554038"
"云南","昆明","12360.75","0.00769255341972156551"
"安徽","阜阳","11847.45","0.00737310778168640748"
"辽宁","沈阳","11424.09","0.00710963514323216142"
"福建","厦门","11264.69","0.00701043460806207728"
"广西","南宁","11207.77","0.00697501117981940984"
"福建","漳州","11124.87","0.00692341943348565843"
"广东","江门","10773.06","0.00670447501517833533"
"江苏","常州","10549.38","0.00656527065064355227"
"山西","太原","10461.03","0.00651028716706590526"
"江西","赣州","10456.32","0.00650735595928264869"
"辽宁","大连","10021.63","0.00623683224138375362"
"河北","保定","9854.68","0.00613293306104093337"
"湖南","衡阳","9797.22","0.00609717357075942123"
"广东","中山","9674.84","0.00602101195536346830"
"浙江","温州","9411.17","0.00585692032984090817"
"河南","新乡","9059.93","0.00563833064368569892"
"福建","莆田","8932.57","0.00555906978948706708"
"山东","济宁","8680.44","0.00540215993420204001"
"安徽","合肥","8594.61","0.00534874474013900161"
"江西","上饶","8512.97","0.00529793713856255450"
"湖南","湘潭","8475.36","0.00527453103989413000"
"四川","自贡","8474.43","0.00527395226638278635"
"山东","菏泽","8260.28","0.00514067877449650330"
"山东","青岛","8224.09","0.00511815639452281857"
"河南","周口","8176.56","0.00508857671173339511"
"湖南","岳阳","7758.94","0.00482867628828464644"
"广西","梧州","7684.20","0.00478216281276010385"
"四川","乐山","7526.50","0.00468402025067527155"
