"created_new","新增用户数","次日留存数","三日留存数","次日留存率","三日留存率"
"2018-03-01","27","15","10","0.55555555555555555556","0.37037037037037037037"
"2018-03-02","32","14","7","0.43750000000000000000","0.21875000000000000000"
"2018-03-03","30","13","7","0.43333333333333333333","0.23333333333333333333"
"2018-03-04","30","15","8","0.50000000000000000000","0.26666666666666666667"
"2018-03-05","30","16","10","0.53333333333333333333","0.33333333333333333333"
"2018-03-06","11","6","4","0.54545454545454545455","0.36363636363636363636"
"2018-03-07","20","10","5","0.50000000000000000000","0.25000000000000000000"
"2018-03-08","37","17","8","0.45945945945945945946","0.21621621621621621622"
"2018-03-09","31","13","7","0.41935483870967741935","0.22580645161290322581"
"2018-03-10","23","10","5","0.43478260869565217391","0.21739130434782608696"
"2018-03-11","11","7","5","0.63636363636363636364","0.45454545454545454545"
"2018-03-12","23","14","8","0.60869565217391304348","0.34782608695652173913"
"2018-03-13","23","10","7","0.43478260869565217391","0.30434782608695652174"
"2018-03-14","96","40","20","0.41666666666666666667","0.20833333333333333333"
"2018-03-15","132","60","30","0.45454545454545454545","0.22727272727272727273"
"2018-03-16","52","0","0","0.00000000000000000000","0.00000000000000000000"
"2018-03-17","72","0","0","0.00000000000000000000","0.00000000000000000000"
"2018-03-18","55","0","0","0.00000000000000000000","0.00000000000000000000"
"2018-03-19","41","0","0","0.00000000000000000000","0.00000000000000000000"
"2018-03-20","37","0","0","0.00000000000000000000","0.00000000000000000000"
"2018-03-21","28","0","0","0.00000000000000000000","0.00000000000000000000"
"2018-03-22","1","0","0","0.00000000000000000000","0.00000000000000000000"
